1, 0, 38561.80069432101
1, 1, 24270.24394496809
1, 2, 28205.796213397232
1, 3, 51820.979355058975
1, 4, 28457.912206793677
1, 6, 26554.466394542123
1, 7, 54680.35503934983
1, 8, 55111.78677370009
1, 10, 55928.59789282084
1, 11, 58881.1748672134
1, 12, 45946.140400167395
1, 14, 60877.046905371986
1, 15, 43945.85391169643
1, 16, 48245.61957706637
1, 19, 59078.97256694759
1, 20, 31331.252420445377
1, 21, 52771.26717116989
1, 22, 38668.89201046069
1, 23, 51988.48215799647
2, 0, 38303.1691259693
2, 2, 28118.026486714516
2, 3, 51514.056086440825
2, 4, 28278.820801712187
2, 5, 14850.998862179918
2, 7, 54461.7557499158
2, 8, 54770.26873388531
2, 9, 28294.39966480194
2, 10, 55703.584129897376
2, 12, 45722.803284642505
2, 13, 35754.186422878905
2, 14, 60752.79984730369
2, 15, 43530.98299827029
2, 16, 47960.627498388436
2, 18, 49027.65810919442
2, 19, 58891.09422533499
2, 20, 30779.212607101752
2, 21, 52320.134342339785
2, 22, 38515.409105933424
2, 23, 51575.109154076184
3, 0, 38044.537557617594
3, 2, 28030.2567600318
3, 4, 28099.729396630697
3, 5, 14668.203593921273
3, 7, 54243.15646048177
3, 8, 54428.75069407052
3, 9, 27977.05002639053
3, 10, 55486.37506151103
3, 11, 58479.511812258046
3, 12, 45494.532029065595
3, 13, 35140.611058373215
3, 14, 60625.23509693138
3, 18, 48789.13309024273
3, 19, 58703.2158837224
3, 20, 30227.172793758127
3, 21, 51869.00151350968
3, 22, 38361.92620140616
3, 23, 51152.17965632836
4, 0, 37785.905989265884
4, 1, 23750.717263303268
4, 2, 27942.487033349084
4, 3, 51186.521162078374
4, 4, 27916.129947680074
4, 5, 14485.408325662627
4, 6, 26366.597821851337
4, 8, 54087.232654255735
4, 9, 27659.700387979123
4, 11, 58098.460413046996
4, 12, 45271.194913540705
4, 14, 60500.988038863085
4, 15, 43095.50042909984
4, 16, 47662.31688703364
4, 18, 48544.49119943714
